representation,target,n_rows,n_classes,balanced_accuracy,ci_low,ci_high,chance_balanced_accuracy,accuracy,majority_accuracy
gte_raw,harness,2069,61,0.8988504980782807,0.8844333923119724,0.9120506542996837,0.01639344262295082,0.9139681005316578,0.07733204446592556
gte_raw,task,2129,20,0.9497085422072196,0.927016087948756,0.9684759196113774,0.05,0.949741662752466,0.050258337247534056
gte_raw,outcome,2129,2,0.7745792785541816,0.7518852285127516,0.7981845982052747,0.5,0.7806481916392672,0.5937059652418976
e5_qubric,system,2129,107,0.20827458053232767,0.1856961865333115,0.23074726570411733,0.009345794392523364,0.20807891028651948,0.009394081728511038
e5_qubric,model,1191,36,0.2867814635718986,0.25950343327472175,0.3134160326493335,0.027777777777777776,0.21578505457598657,0.18387909319899245
e5_qubric,vendor,1591,8,0.3739619257771041,0.33971267173888586,0.40659728792298394,0.125,0.3287240729101194,0.6115650534255186
e5_qubric,harness,2069,61,0.2869614420100299,0.25620946055571525,0.31905944130258745,0.01639344262295082,0.24552924117931368,0.07733204446592556
e5_qubric,task,2129,20,0.9873390096648782,0.9818996731137332,0.993075942502971,0.05,0.9873179896665101,0.050258337247534056
e5_qubric,outcome,2129,2,0.8489088680763883,0.828151812477145,0.8690301965608824,0.5,0.8543917332080789,0.5937059652418976
e5_raw,system,2129,107,0.7860605563753622,0.7662004860970457,0.8049886702508517,0.009345794392523364,0.7862846406763739,0.009394081728511038
e5_raw,model,1191,36,0.8166662714405145,0.7924873064922408,0.839773549377442,0.027777777777777776,0.7279596977329975,0.18387909319899245
e5_raw,vendor,1591,8,0.860364263317227,0.8254495749026074,0.8914396067654289,0.125,0.8265241986172219,0.6115650534255186
e5_raw,harness,2069,61,0.9043958131792471,0.8854247021552889,0.9229095447284859,0.01639344262295082,0.9047849202513292,0.07733204446592556
e5_raw,task,2129,20,0.9553468775978036,0.9337367025976533,0.9733265272614946,0.05,0.9553781117895725,0.050258337247534056
e5_raw,outcome,2129,2,0.7704452330430964,0.7457372193284039,0.7909720852663448,0.5,0.7844058243306716,0.5937059652418976
mpnet_qubric,system,2129,107,0.11058916762310762,0.0982059860343547,0.12507971412864213,0.009345794392523364,0.1103804603100047,0.009394081728511038
mpnet_qubric,model,1191,36,0.17890646755778336,0.15486371592457118,0.20215232773177497,0.027777777777777776,0.14021830394626364,0.18387909319899245
mpnet_qubric,vendor,1591,8,0.28840617121036266,0.25398850558187197,0.32289436529545423,0.125,0.2042740414833438,0.6115650534255186
mpnet_qubric,harness,2069,61,0.16028935685956694,0.13362151388287002,0.18850402039233885,0.01639344262295082,0.1290478492025133,0.07733204446592556
mpnet_qubric,task,2129,20,0.986871719945252,0.982012733683994,0.9917660256410257,0.05,0.9868482855800845,0.050258337247534056
